name,neighbourhood,price,number_of_reviews,room_type
"Safe and Cozy Hostel Room, 1 person, Manhattan",Chelsea,142.0,3736,Private room
Individual Cubicle Room in NYC/Mixed Floor,Chelsea,155.0,3091,Private room
Traveling Nurses and Medical Professionals,Harlem,44.0,686,Private room
The Perfect hideaway,Jamaica,10.0,166,Private room
Perfect for Traveling Medical Professionals,Harlem,45.0,667,Private room
"Sunny, quiet room next to Prospect Park",Prospect Heights,25.0,317,Private room
JFK Tiny Room to sleep Room #4,Jamaica,48.0,580,Private room
"LGA, CITIFIELD, JFK MANHATTAN+tv(RM #2)",East Elmhurst,51.0,539,Private room
"Room in Queens, NY, near LGA.",East Elmhurst,75.0,664,Private room
LGA CITIFIELD JFK MANHATTAN+TV (RM #4),East Elmhurst,54.0,476,Private room
Sunny Small Room,Bedford-Stuyvesant,71.0,622,Private room
"Nice 1-Room near LGA, Citi Field, Manhattan",East Elmhurst,60.0,507,Private room
Private bedroom & bath in Red Hook Bklyn for solo,Red Hook,70.0,546,Private room
Perfectly Located UpperWest Futon,Upper West Side,34.0,268,Shared room
Cozy 1BR APT in the heart of Astoria,Astoria,58.0,443,Private room
Quiet home free ferry to Manhattan,New Brighton,53.0,404,Private room
"Sunny, Large, Comfy, Private Room",Canarsie,82.0,619,Private room
SoHo View Room (Full-Size Bed) in Hotel Comfort,Chinatown,267.0,1986,Entire home/apt
"Shay's Place #1
( 1 Bdrm. Apt )
5 mins From JFK",Springfield Gardens,77.0,568,Entire home/apt
"Bright, Cozy room in Brooklyn",Bedford-Stuyvesant,87.0,620,Private room
